label,message,message_length
0,alrite sam nic checkin ur numberso ittb,39
1,urgent mobile number awarded £2000 prize guaranteed call 09061790126 land line claim 3030 valid 12hrs 150ppm,108
0,ok im coming home,17
1,great new offer double mins double txt best orange tariffs get latest camera phones 4 free call mobileupd8 free 08000839402 2stoptxt tcs,136
0,ok knackered came home went sleep good full time work lark,58
0,thats alrite girl u know gail neva wrongtake care sweet dont worryc u l8tr hunlove yaxxx,90
0,thanks sending mental ability question,38
0,wanna art,9
0,drama plsi enough family struggling hot sun strange placeno reason ego going invited actually necessity gowait serious reppurcussions,133
0,hey sexy buns told adore loverboy hope remember thank sister law meatballs grins love babe,90
0,good weekend,12
0,im going 2 orchard laready reaching soon u reaching,51
0,think one saying clearly ok leave need ask go come,50
0,asked hows anthony dad bf,25
0,dear take care reaching homelove u lot,38
0,k im leaving soon little 9,26
0,lol know hey someone great inpersonation flea forums love,57
0,come life brought sun shiny warming heart putting constant smile face making feel loved cared,93
0,gas station go,14
0,cant pick phone right pls send message,38
0,appt lttimegt fault u dont listen told u twice,46
0,please dont say like hi hi hi,29
0,hi babe thanks coming even though didnt go welli wanted bed hope see soon love kisses xxx,89
1,call freephone 0800 542 0578,28
0,howz painit come todaydo said ystrdayice medicine,49
0,ill post l8r class,18
0,yeah open chat click friend lists make list easy pie,52
0,hey pay salary de ltgt,22
0,sch neva mind u eat 1st lor,27
0,time think youll need know near campus,38
0,asking u knw nt may ur frnds classmates,39
0,would im still cozy exhausted last nightnobody went school work everything closed,81
0,dad wanted talk apartment got late start omw,44
0,today accept dayu accept brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd rply means enemy,141
0,living simple loving also simple laughing simple winning tooo simple simple difficult gud nte,93
1,free top ringtone sub weekly ringtoneget 1st week freesend subpoly 816183 per weekstop sms08718727870,101
0,shes fine good hear dear happy new year oh,42
0,dont fret ill buy ovulation test strips send wont get til like march send postal addressull alrightokay,103
0,whos class,10
0,lot sickness thing going round take easy hope u feel better soon lol,68
0,movie theatre go watch unlimited movies pay,43
1,freemessage jamsterget crazy frog sound poly text mad1 real text mad2 88888 6 crazy sounds 3 gbpweek 16only tcs apply,117
0,anything lor coming,19
0,omw back tampa west palm hear happened,38
0,dunno leh cant remember mayb lor wat time r meeting tmr,55
0,dude makin weirdy brownies sister made awesome cookies took pics,64
0,ay wana meet satü wkg sat,25
0,sorry cant text amp drive coherently see twenty,47
0,happened yo date,16
0,r giving second chance rahul dengra,35
0,thinked first time saw class,28
1,mobile 10 mths update latest orange cameravideo phones free save £s free textsweekend calls text yes callback orno opt,118
0,sounds good keep posted,23
1,sports fans get latest sports news str 2 ur mobile 1 wk free plus free tone txt sport 8007 wwwgetzedcouk 0870141701216 norm 4txt120p,132
0,sday joinedso training started today,36
0,kkapo kgood movie,17
0,said went back bed cant sleep anything,38
0,life nothing wen v get everything life everything wen v miss something real value people wil realized absence gud mrng,118
0,old orchard near univ,21
0,ok also wan 2 watch e 9 pm show,31
0,hungry buy food good lei mum n yun dun wan juz buy little bit,61
0,call plz number shows coveragd area urgnt call vasai amp reach 4o clock call plz,80
0,ya knw u vl givits ok thanks kanoanyway enjoy wit ur family wit 1st salary,74
0,ok lor,6
0,finish liao u,13
0,wait thats still clear sure sarcastic thats x doesnt want live us,65
0,world running stillmaybe feeling sameso itor admiti madthen correctionor let call lifeand keep running worldmay u r also runninglets run,136
1,dont know u u dont know send chat 86688 lets find 150pmsg rcvd hgsuite3422landsroww1j6hl ldn 18 years,101
0,kkits goodwhen going,20
0,ohas usual vijay film different,31
0,safe trip nigeria wish happiness soon company share moments,59
0,also remember get dobbys bowl car,33
0,get gandhipuram walk cross cut road right side ltgt street road turn first right,80
0,cos daddy arranging time c wat time fetch ü mah,47
0,like italian food,17
0,im awake oh whats,17
1,urgent please call 09066612661 landline complimentary 4 lux costa del sol holiday £1000 cash await collection ppm 150 sae tcs james 28 eh74rr,141
0,geeee miss already know think fuck cant wait till next year together loving kiss,80
0,hostbased idps linux systems,28
0,yeah thats fine £6 get ok,25
0,released another italian one today cosign option,48
0,sorry da thangamits mistake,27
0,dance river,11
0,im school n ill da lab stuff give call ü r done,47
1,urgent call 09066649731from landline complimentary 4 ibiza holiday £10000 cash await collection sae tcs po box 434 sk3 8wp 150ppm 18,132
0,correct work today,18
0,shore takin bus,15
0,ryder unsoldnow gibbs,21
1,todays voda numbers ending 7548 selected receive 350 award match please call 08712300220 quoting claim code 4041 standard rates app,131
0,studies alone without anyones help cant need study,50
0,im ok wif cos like 2 try new things scared u dun like mah cos u said loud,73
1,datingi two started sent text talk sport radio last week connection think coincidence,85
0,yup ok go home look timings msg ü xuhui going learn 2nd may lesson 8am,70
0,may call later pls,18
0,either ideas know anyplaces something,37
1,guaranteed 32000 award maybe even £1000 cash claim ur award call free 0800 18 legitimat efreefone number wat u think,116
0,sucks got planned yo valentine yo valentine arent,49
1,yes place town meet exciting adult singles uk txt chat 86688 150pmsg,68
1,hi ur lookin 4 saucy daytime fun wiv busty married woman free next week chat 2 sort time 09099726429 janinexx calls£1minmobsmorelkpobox177hp51fl,144
0,youdoing later sar xxx,22
0,excellent wish together right,29
0,ltgt k oh send home sale,24
1,private 2003 account statement 07753741225 shows 800 unredeemed points call 08715203677 identifier code 42478 expires 241004,124
0,call youcarlos isare phones vibrate acting might hear texts,59
0,kind took garage centre part exhaust needs replacing part ordered n taking fixed tomo morning,93
0,god created gap btwn ur fingers dat sum1 vry special fill gaps holding ur hands plz dont ask created much gap legs,114
0,well im glad didnt find totally disagreeable lol,48
0,hai dear friends new amp present number rajitha raj ranju,57
0,want go,7
1,winner u specially selected 2 receive £1000 cash 4 holiday flights inc speak live operator 2 claim 0871277810810,112
0,say slowly godi love amp need youclean heart bloodsend ten special people amp u c miracle tomorrow itplspls,107
0,charges transfer charges withdraw anyhow like,45
0,wnt buy bmw car urgentlyits vry urgentbut hv shortage ltgt lacsthere source arng dis amt ltgt lacsthats prob,108
0,tell make little spreadsheet track whose idea smoke determine smokes much entire month february ill come,104
0,remind get shall,16
0,curious cuz asked,17
0,number vivek,12
0,ya telling abt tht incident,27
0,awesome remember last time got somebody high first time diesel v,64
0,yes last practice,17
1,specially selected receive 3000 award call 08712402050 lines close cost 10ppm 16 tcs apply ag promo,99
0,ill text drop x,15
0,actually mobile full msg work online need send ltgt sent msg wil explain u later,80
1,please call customer service representative 0800 169 6031 10am9pm guaranteed £1000 cash £5000 prize,99
0,hai priya right doctor said pa,30
0,gran onlyfound afew days agocusoon honi,39
0,wont b 215 trying 2 sort house ok,33
0,wereare free give otherwise nalla adi entey nattil kittum,57
0,aiyar sorry lor forgot 2 tell u,31
0,ok help ask shes working tmr,28
0,yuou working getting pc moms find spot would work need,54
0,fine simply sitting,19
0,still checked da,16
0,birthday feb ltgt da,20
0,trip ok quite tiring lor uni starts today ok 4 cos im taking modules jus concentrating final yr project,103
0,good afternoon glorious anniversary day sweet j hope finds happy content prey think send teasing kiss across sea coaxing images fond souveniers cougarpen,153
0,need 8th im campus atm could pick hour two,42
0,sorry ill call later meeting sir,32
1,donate £250 unicefs asian tsunami disaster support fund texting donate 864233 £250 added next bill,98
0,piss talking someone realise u point itnow read backwards,57
